Player Name,Player Code,Tournament,Outcome,Zone,X,Y,api_id,Scored,Attempts,Number,Nationality,Position,Age,Caps,Goals,Club
Antonio Rüdiger,142622,"UEFA Champions League, Knockout stage",1,1,27.96,93.67,6061058,3,3,2,GER,1,31,69,3,Real Madrid
Antonio Rüdiger,142622,EFL Cup,1,7,56.45,63.0,26417,3,3,2,GER,1,31,69,3,Real Madrid
Antonio Rüdiger,142622,UEFA Super Cup,1,2,40.32,77.83,26418,3,3,2,GER,1,31,69,3,Real Madrid
David Raum,856076,DFB Pokal,1,1,37.63,69.33,10121,1,1,3,GER,1,26,21,0,RB Leipzig
Pascal Groß,48480,Premier League,1,1,32.8,82.0,6041583,13,17,5,GER,2,32,7,1,Brighton & Hove Albion
Pascal Groß,48480,FA Cup,1,8,65.05,46.17,42920,13,17,5,GER,2,32,7,1,Brighton & Hove Albion
Pascal Groß,48480,EFL Cup,3,4,22.04,76.83,31275,13,17,5,GER,2,32,7,1,Brighton & Hove Albion
Pascal Groß,48480,Premier League,2,2,53.23,88.33,16589,13,17,5,GER,2,32,7,1,Brighton & Hove Albion
Pascal Groß,48480,EFL Cup,1,2,58.06,89.5,16590,13,17,5,GER,2,32,7,1,Brighton & Hove Albion
Pascal Groß,48480,Premier League,1,1,27.42,99.0,16591,13,17,5,GER,2,32,7,1,Brighton & Hove Albion
Pascal Groß,48480,Premier League,3,11,51.08,32.5,16592,13,17,5,GER,2,32,7,1,Brighton & Hove Albion
Pascal Groß,48480,FA Cup,1,3,69.35,95.83,16593,13,17,5,GER,2,32,7,1,Brighton & Hove Albion
Pascal Groß,48480,Premier League,1,8,67.74,65.17,16594,13,17,5,GER,2,32,7,1,Brighton & Hove Albion
Pascal Groß,48480,Premier League,1,2,53.76,81.0,16595,13,17,5,GER,2,32,7,1,Brighton & Hove Albion
Pascal Groß,48480,Premier League,2,1,31.72,93.67,6044399,13,17,5,GER,2,32,7,1,Brighton & Hove Albion
Pascal Groß,48480,Premier League,1,7,45.16,66.17,6044400,13,17,5,GER,2,32,7,1,Brighton & Hove Albion
Pascal Groß,48480,Premier League,1,1,28.49,97.83,6044401,13,17,5,GER,2,32,7,1,Brighton & Hove Albion
Pascal Groß,48480,Bundesliga,1,2,56.99,99.0,6044402,13,17,5,GER,2,32,7,1,Brighton & Hove Albion
Pascal Groß,48480,Bundesliga,1,1,32.26,99.0,6044403,13,17,5,GER,2,32,7,1,Brighton & Hove Albion
Pascal Groß,48480,Bundesliga,1,6,38.17,47.33,6044404,13,17,5,GER,2,32,7,1,Brighton & Hove Albion
Pascal Groß,48480,DFB Pokal,1,1,28.49,97.83,6044405,13,17,5,GER,2,32,7,1,Brighton & Hove Albion
Joshua Kimmich,259117,Bundesliga,1,3,67.2,95.83,43536,4,5,6,GER,1,29,86,6,Bayern Munich
Joshua Kimmich,259117,"UEFA Champions League, Knockout stage",1,7,46.77,63.0,42825,4,5,6,GER,1,29,86,6,Bayern Munich
Joshua Kimmich,259117,DFB Pokal,1,1,29.03,77.83,1366,4,5,6,GER,1,29,86,6,Bayern Munich
Joshua Kimmich,259117,Supercup,2,1,36.56,75.67,6049353,4,5,6,GER,1,29,86,6,Bayern Munich
Joshua Kimmich,259117,"Euro, Knockout stage",1,1,29.03,94.67,6049354,4,5,6,GER,1,29,86,6,Bayern Munich
Kai Havertz,836705,"Euro, Group A",1,1,38.17,76.83,6062897,15,16,7,GER,3,25,46,16,Arsenal
Kai Havertz,836705,"UEFA Champions League, Knockout stage",1,3,62.37,96.83,6057989,15,16,7,GER,3,25,46,16,Arsenal
Kai Havertz,836705,Premier League,1,1,26.34,87.33,2177837,15,16,7,GER,3,25,46,16,Arsenal
Kai Havertz,836705,Premier League,1,8,66.67,63.0,41080,15,16,7,GER,3,25,46,16,Arsenal
Kai Havertz,836705,"UEFA Champions League, Knockout stage",1,3,71.51,96.83,40289,15,16,7,GER,3,25,46,16,Arsenal
Kai Havertz,836705,EFL Cup,1,3,63.98,94.67,7924,15,16,7,GER,3,25,46,16,Arsenal
Kai Havertz,836705,Club World Cup,1,1,31.18,91.5,7925,15,16,7,GER,3,25,46,16,Arsenal
Kai Havertz,836705,UEFA Super Cup,2,3,60.75,69.33,7926,15,16,7,GER,3,25,46,16,Arsenal
Kai Havertz,836705,DFB Pokal,1,6,31.72,52.5,7927,15,16,7,GER,3,25,46,16,Arsenal
Kai Havertz,836705,Bundesliga,1,1,27.42,82.0,7928,15,16,7,GER,3,25,46,16,Arsenal
Kai Havertz,836705,"UEFA Europa League, Knockout stage",1,2,43.01,97.83,7929,15,16,7,GER,3,25,46,16,Arsenal
Kai Havertz,836705,"UEFA Europa League, Knockout stage",1,3,63.98,99.0,7930,15,16,7,GER,3,25,46,16,Arsenal
Kai Havertz,836705,Bundesliga,1,3,69.89,96.83,6044325,15,16,7,GER,3,25,46,16,Arsenal
Kai Havertz,836705,Bundesliga,1,1,27.42,95.83,6044326,15,16,7,GER,3,25,46,16,Arsenal
Kai Havertz,836705,Bundesliga,1,3,70.97,94.67,6044327,15,16,7,GER,3,25,46,16,Arsenal
Kai Havertz,836705,DFB Pokal,1,1,29.57,95.83,6044328,15,16,7,GER,3,25,46,16,Arsenal
Toni Kroos,26502,Supercopa de España,1,3,70.43,97.83,32932,5,6,8,GER,2,34,109,17,Real Madrid
Toni Kroos,26502,"European Championship, Qualification Group C",1,1,34.41,96.83,26445,5,6,8,GER,2,34,109,17,Real Madrid
Toni Kroos,26502,"UEFA Nations League, League A, Gr. 1",1,3,71.51,96.83,6046185,5,6,8,GER,2,34,109,17,Real Madrid
Toni Kroos,26502,"Euro, Knockout stage",1,1,27.96,74.67,6046186,5,6,8,GER,2,34,109,17,Real Madrid
Toni Kroos,26502,"UEFA Champions League, Knockout stage",2,3,66.67,95.33,6061356,5,6,8,GER,2,34,109,17,Real Madrid
Toni Kroos,26502,DFB Pokal,1,1,27.42,86.17,6046187,5,6,8,GER,2,34,109,17,Real Madrid
Niclas Füllkrug,132645,Bundesliga,1,2,58.6,96.83,5764394,20,21,9,GER,3,31,16,11,Borussia Dortmund
Niclas Füllkrug,132645,Bundesliga,1,1,26.88,96.83,5764395,20,21,9,GER,3,31,16,11,Borussia Dortmund
Niclas Füllkrug,132645,Bundesliga,1,3,68.28,93.67,5510236,20,21,9,GER,3,31,16,11,Borussia Dortmund
Niclas Füllkrug,132645,DFB Pokal,1,3,67.2,95.83,500518,20,21,9,GER,3,31,16,11,Borussia Dortmund
Niclas Füllkrug,132645,Bundesliga,1,1,31.72,99.0,40529,20,21,9,GER,3,31,16,11,Borussia Dortmund
Niclas Füllkrug,132645,Bundesliga,1,3,60.22,96.83,35941,20,21,9,GER,3,31,16,11,Borussia Dortmund
Niclas Füllkrug,132645,DFB Pokal,1,1,31.72,94.67,10106,20,21,9,GER,3,31,16,11,Borussia Dortmund
Niclas Füllkrug,132645,Bundesliga,1,3,63.44,97.83,1221,20,21,9,GER,3,31,16,11,Borussia Dortmund
Niclas Füllkrug,132645,Bundesliga,1,2,57.53,93.67,1222,20,21,9,GER,3,31,16,11,Borussia Dortmund
Niclas Füllkrug,132645,Bundesliga,1,1,30.65,93.67,1223,20,21,9,GER,3,31,16,11,Borussia Dortmund
Niclas Füllkrug,132645,2. Bundesliga,1,1,37.63,96.83,1224,20,21,9,GER,3,31,16,11,Borussia Dortmund
Niclas Füllkrug,132645,2. Bundesliga,1,1,32.8,94.67,1225,20,21,9,GER,3,31,16,11,Borussia Dortmund
Niclas Füllkrug,132645,Bundesliga,1,8,62.9,62.0,1226,20,21,9,GER,3,31,16,11,Borussia Dortmund
Niclas Füllkrug,132645,Bundesliga,1,3,63.98,99.0,1227,20,21,9,GER,3,31,16,11,Borussia Dortmund
Niclas Füllkrug,132645,Bundesliga,1,7,55.91,65.17,6049320,20,21,9,GER,3,31,16,11,Borussia Dortmund
Niclas Füllkrug,132645,DFB Pokal,1,2,58.6,94.67,6049321,20,21,9,GER,3,31,16,11,Borussia Dortmund
Niclas Füllkrug,132645,Bundesliga,1,1,36.02,73.67,6049322,20,21,9,GER,3,31,16,11,Borussia Dortmund
Niclas Füllkrug,132645,Bundesliga,1,3,62.37,94.67,6049323,20,21,9,GER,3,31,16,11,Borussia Dortmund
Niclas Füllkrug,132645,Bundesliga,2,1,29.57,90.5,6049324,20,21,9,GER,3,31,16,11,Borussia Dortmund
Niclas Füllkrug,132645,Bundesliga,1,6,36.56,62.0,6049325,20,21,9,GER,3,31,16,11,Borussia Dortmund
Niclas Füllkrug,132645,2. Bundesliga,1,1,27.96,94.67,6049326,20,21,9,GER,3,31,16,11,Borussia Dortmund
Chris Führich,891510,Bundesliga,2,3,67.2,93.67,3754414,2,3,11,GER,2,26,4,0,VfB Stuttgart
Chris Führich,891510,Bundesliga,1,1,32.8,86.33,35685,2,3,11,GER,2,26,4,0,VfB Stuttgart
Chris Führich,891510,2. Bundesliga,1,1,29.03,92.67,10829,2,3,11,GER,2,26,4,0,VfB Stuttgart
Thomas Müller,35166,DFB Pokal,1,1,34.95,70.5,1378,24,31,13,GER,3,34,129,45,Bayern Munich
Thomas Müller,35166,"UEFA Champions League, Group A",1,3,72.58,75.67,1379,24,31,13,GER,3,34,129,45,Bayern Munich
Thomas Müller,35166,Bundesliga,1,3,70.97,97.83,1380,24,31,13,GER,3,34,129,45,Bayern Munich
Thomas Müller,35166,DFB Pokal,1,1,30.11,81.0,1381,24,31,13,GER,3,34,129,45,Bayern Munich
Thomas Müller,35166,DFB Pokal,1,3,71.51,74.67,6049358,24,31,13,GER,3,34,129,45,Bayern Munich
Thomas Müller,35166,DFB Pokal,0,11,62.9,0.0,6049359,24,31,13,GER,3,34,129,45,Bayern Munich
Thomas Müller,35166,"Euro, Knockout stage",2,3,63.98,93.67,6049360,24,31,13,GER,3,34,129,45,Bayern Munich
Thomas Müller,35166,"UEFA Champions League, Knockout stage",2,1,38.17,72.5,6049361,24,31,13,GER,3,34,129,45,Bayern Munich
Thomas Müller,35166,DFB Pokal,2,3,67.74,74.67,6049362,24,31,13,GER,3,34,129,45,Bayern Munich
Thomas Müller,35166,Bundesliga,1,3,62.9,99.0,6049363,24,31,13,GER,3,34,129,45,Bayern Munich
Thomas Müller,35166,"UEFA Champions League, Group F",3,5,78.49,94.67,6049364,24,31,13,GER,3,34,129,45,Bayern Munich
Thomas Müller,35166,Bundesliga,1,3,74.19,96.83,6049365,24,31,13,GER,3,34,129,45,Bayern Munich
Thomas Müller,35166,Bundesliga,1,3,61.83,99.0,6049366,24,31,13,GER,3,34,129,45,Bayern Munich
