Player Name,Player Code,Tournament,Outcome,Zone,X,Y,api_id
Manuel Neuer,8959,,Not Available,,,,
Antonio Rüdiger,142622,"UEFA Champions League, Knockout stage",goal,low-left,27.96,93.67,6061058
Antonio Rüdiger,142622,EFL Cup,goal,high-centre,56.45,63.0,26417
Antonio Rüdiger,142622,UEFA Super Cup,goal,low-centre,40.32,77.83,26418
David Raum,856076,DFB Pokal,goal,low-left,37.63,69.33,10121
Jonathan Tah,227672,,Not Available,,,,
Pascal Groß,48480,Premier League,goal,low-left,32.8,82.0,6041583
Pascal Groß,48480,FA Cup,goal,high-right,65.05,46.17,42920
Pascal Groß,48480,EFL Cup,post,left,22.04,76.83,31275
Pascal Groß,48480,Premier League,save,low-centre,53.23,88.33,16589
Pascal Groß,48480,EFL Cup,goal,low-centre,58.06,89.5,16590
Pascal Groß,48480,Premier League,goal,low-left,27.42,99.0,16591
Pascal Groß,48480,Premier League,post,high,51.08,32.5,16592
Pascal Groß,48480,FA Cup,goal,low-right,69.35,95.83,16593
Pascal Groß,48480,Premier League,goal,high-right,67.74,65.17,16594
Pascal Groß,48480,Premier League,goal,low-centre,53.76,81.0,16595
Pascal Groß,48480,Premier League,save,low-left,31.72,93.67,6044399
Pascal Groß,48480,Premier League,goal,high-centre,45.16,66.17,6044400
Pascal Groß,48480,Premier League,goal,low-left,28.49,97.83,6044401
Pascal Groß,48480,Bundesliga,goal,low-centre,56.99,99.0,6044402
Pascal Groß,48480,Bundesliga,goal,low-left,32.26,99.0,6044403
Pascal Groß,48480,Bundesliga,goal,high-left,38.17,47.33,6044404
Pascal Groß,48480,DFB Pokal,goal,low-left,28.49,97.83,6044405
Joshua Kimmich,259117,Bundesliga,goal,low-right,67.2,95.83,43536
Joshua Kimmich,259117,"UEFA Champions League, Knockout stage",goal,high-centre,46.77,63.0,42825
Joshua Kimmich,259117,DFB Pokal,goal,low-left,29.03,77.83,1366
Joshua Kimmich,259117,Supercup,save,low-left,36.56,75.67,6049353
Joshua Kimmich,259117,"Euro, Knockout stage",goal,low-left,29.03,94.67,6049354
Kai Havertz,836705,"Euro, Group A",goal,low-left,38.17,76.83,6062897
Kai Havertz,836705,"UEFA Champions League, Knockout stage",goal,low-right,62.37,96.83,6057989
Kai Havertz,836705,Premier League,goal,low-left,26.34,87.33,2177837
Kai Havertz,836705,Premier League,goal,high-right,66.67,63.0,41080
Kai Havertz,836705,"UEFA Champions League, Knockout stage",goal,low-right,71.51,96.83,40289
Kai Havertz,836705,EFL Cup,goal,low-right,63.98,94.67,7924
Kai Havertz,836705,Club World Cup,goal,low-left,31.18,91.5,7925
Kai Havertz,836705,UEFA Super Cup,save,low-right,60.75,69.33,7926
Kai Havertz,836705,DFB Pokal,goal,high-left,31.72,52.5,7927
Kai Havertz,836705,Bundesliga,goal,low-left,27.42,82.0,7928
Kai Havertz,836705,"UEFA Europa League, Knockout stage",goal,low-centre,43.01,97.83,7929
Kai Havertz,836705,"UEFA Europa League, Knockout stage",goal,low-right,63.98,99.0,7930
Kai Havertz,836705,Bundesliga,goal,low-right,69.89,96.83,6044325
Kai Havertz,836705,Bundesliga,goal,low-left,27.42,95.83,6044326
Kai Havertz,836705,Bundesliga,goal,low-right,70.97,94.67,6044327
Kai Havertz,836705,DFB Pokal,goal,low-left,29.57,95.83,6044328
Toni Kroos,26502,Supercopa de España,goal,low-right,70.43,97.83,32932
Toni Kroos,26502,"European Championship, Qualification Group C",goal,low-left,34.41,96.83,26445
Toni Kroos,26502,"UEFA Nations League, League A, Gr. 1",goal,low-right,71.51,96.83,6046185
Toni Kroos,26502,"Euro, Knockout stage",goal,low-left,27.96,74.67,6046186
Toni Kroos,26502,"UEFA Champions League, Knockout stage",save,low-right,66.67,95.33,6061356
Toni Kroos,26502,DFB Pokal,goal,low-left,27.42,86.17,6046187
Niclas Füllkrug,132645,Bundesliga,goal,low-centre,58.6,96.83,5764394
Niclas Füllkrug,132645,Bundesliga,goal,low-left,26.88,96.83,5764395
Niclas Füllkrug,132645,Bundesliga,goal,low-right,68.28,93.67,5510236
Niclas Füllkrug,132645,DFB Pokal,goal,low-right,67.2,95.83,500518
Niclas Füllkrug,132645,Bundesliga,goal,low-left,31.72,99.0,40529
Niclas Füllkrug,132645,Bundesliga,goal,low-right,60.22,96.83,35941
Niclas Füllkrug,132645,DFB Pokal,goal,low-left,31.72,94.67,10106
Niclas Füllkrug,132645,Bundesliga,goal,low-right,63.44,97.83,1221
Niclas Füllkrug,132645,Bundesliga,goal,low-centre,57.53,93.67,1222
Niclas Füllkrug,132645,Bundesliga,goal,low-left,30.65,93.67,1223
Niclas Füllkrug,132645,2. Bundesliga,goal,low-left,37.63,96.83,1224
Niclas Füllkrug,132645,2. Bundesliga,goal,low-left,32.8,94.67,1225
Niclas Füllkrug,132645,Bundesliga,goal,high-right,62.9,62.0,1226
Niclas Füllkrug,132645,Bundesliga,goal,low-right,63.98,99.0,1227
Niclas Füllkrug,132645,Bundesliga,goal,high-centre,55.91,65.17,6049320
Niclas Füllkrug,132645,DFB Pokal,goal,low-centre,58.6,94.67,6049321
Niclas Füllkrug,132645,Bundesliga,goal,low-left,36.02,73.67,6049322
Niclas Füllkrug,132645,Bundesliga,goal,low-right,62.37,94.67,6049323
Niclas Füllkrug,132645,Bundesliga,save,low-left,29.57,90.5,6049324
Niclas Füllkrug,132645,Bundesliga,goal,high-left,36.56,62.0,6049325
Niclas Füllkrug,132645,2. Bundesliga,goal,low-left,27.96,94.67,6049326
Jamal Musiala,1010231,,Not Available,,,,
Chris Führich,891510,Bundesliga,save,low-right,67.2,93.67,3754414
Chris Führich,891510,Bundesliga,goal,low-left,32.8,86.33,35685
Chris Führich,891510,2. Bundesliga,goal,low-left,29.03,92.67,10829
Oliver Baumann,40244,,Not Available,,,,
Thomas Müller,35166,DFB Pokal,goal,low-left,34.95,70.5,1378
Thomas Müller,35166,"UEFA Champions League, Group A",goal,low-right,72.58,75.67,1379
Thomas Müller,35166,Bundesliga,goal,low-right,70.97,97.83,1380
