Player Name,Player Code
Manuel Neuer,8959
Antonio Rüdiger,142622
David Raum,856076
Jonathan Tah,227672
Pascal Groß,48480
Joshua Kimmich,259117
Kai Havertz,836705
Toni Kroos,26502
Niclas Füllkrug,132645
Jamal Musiala,1010231
Chris Führich,891510
Oliver Baumann,40244
Thomas Müller,35166
Maximilian Beier,980628
Nico Schlotterbeck,940871
Waldemar Anton,799046
Florian Wirtz,1019322
Maximilian Mittelstädt,788949
Leroy Sané,293519
Benjamin Henrichs,319857
İlkay Gündoğan,45853
Marc-André ter Stegen,88625
Robert Andrich,168903
Robin Koch,581302
Emre Can,138156
Deniz Undav,794298
Angus Gunn,227946
Anthony Ralston,840227
Andrew Robertson,262911
Scott McTominay,879346
Grant Hanley,95791
Kieran Tierney,366592
John McGinn,250223
Callum McGregor,97046
Lawrence Shankland,237098
Ché Adams,773409
Ryan Christie,322391
Liam Kelly,287555
Jack Hendry,795696
Billy Gilmour,907668
Ryan Porteous,889776
Liam Cooper,39327
Stuart Armstrong,117083
Lewis Morgan,383550
Tommy Conway,1104987
Ryan Jack,35507
Zander Clark,556366
Ross McCrorie,795828
Kenny McLean,75756
Greg Taylor,839097
James Forrest,91744
Scott McKenna,358108
Péter Gulácsi,37096
Ádám Lang,154406
Botond Balogh,983510
Attila Szalai,823092
Attila Fiola,49585
Willi Orbán,136924
Loïc Négo,54308
Ádám Nagy,795713
Martin Ádám,285739
Dominik Szoboszlai,869856
Milos Kerkez,1097425
Dénes Dibusz,75425
András Schäfer,877302
Bendegúz Bolla,921140
László Kleinheisler,134877
Dániel Gazdag,284605
Callum Styles,839940
Zsolt Nagy,282541
Barnabás Varga,852434
Roland Sallai,355088
Endre Botka,134863
Péter Szappanos,803307
Kevin Csoboth,879542
Márton Dárdai,980618
Krisztofer Horváth,928572
Mihály Kata,983511
Yann Sommer,16206
Leonidas Stergiou,962898
Silvan Widmer,157377
Nico Elvedi,282229
Manuel Akanji,383560
Denis Zakaria,770677
Breel Embolo,352296
Remo Freuler,115516
Noah Okafor,865523
Granit Xhaka,117777
Renato Steffen,243049
Yvon Mvogo,149656
Ricardo Rodriguez,67769
Steven Zuber,37752
Cédric Zesiger,798926
Vincent Sierro,794412
Ruben Vargas,872919
Kwadwo Duah,827531
Dan Ndoye,944327
Michel Aebischer,850891
Gregor Kobel,556866
Fabian Schär,101882
Xherdan Shaqiri,65953
Ardon Jashari,1034082
Zeki Amdouni,990550
Fabian Rieder,929620
David Raya,581310
Dani Carvajal,138572
Robin Le Normand,787751
Nacho,69404
Daniel Vivian,910978
Mikel Merino,592010
Álvaro Morata,125407
Fabián Ruiz,784655
Joselu,69418
Dani Olmo,789071
Ferran Torres,855833
Álex Grimaldo,177177
Álex Remiro,791773
Aymeric Laporte,149734
Álex Baena,910031
Rodri,827606
Nico Williams,1085400
Martín Zubimendi,966837
Lamine Yamal,1402912
Pedri,992587
Mikel Oyarzabal,823622
Jesús Navas,11869
Unai Simón,797291
Marc Cucurella,794939
Fermín López,1153270
Ayoze Pérez,345195
Dominik Livaković,190419
Josip Stanišić,927407
Marin Pongračić,847467
Joško Gvardiol,964994
Martin Erlić,789234
Josip Šutalo,954836
Lovro Majer,841947
Mateo Kovačić,136710
Andrej Kramarić,67647
Luka Modrić,15466
Marcelo Brozović,108800
Nediljko Labrović,947986
Nikola Vlašić,357596
Ivan Perišić,38710
Mario Pašalić,190437
Ante Budimir,37318
Bruno Petković,309306
Luka Ivanušec,822462
Borna Sosa,357584
Marko Pjaca,190435
Domagoj Vida,51225
Josip Juranović,791642
Ivica Ivušić,190417
Marco Pašalić,1066802
Luka Sučić,949156
Martin Baturina,1090019
Gianluigi Donnarumma,824509
Giovanni Di Lorenzo,153257
Federico Dimarco,284361
Alessandro Buongiorno,870263
Riccardo Calafiori,957602
Federico Gatti,1128063
Davide Frattesi,835600
Jorginho,132874
Gianluca Scamacca,807301
Lorenzo Pellegrini,555540
Giacomo Raspadori,865651
Guglielmo Vicario,553606
Matteo Darmian,19352
Federico Chiesa,845386
Raoul Bellanova,826185
Bryan Cristante,186855
Gianluca Mancini,611210
Nicolò Barella,363856
Mateo Retegui,914501
Mattia Zaccagni,293581
Nicolò Fagioli,901850
Stephan El Shaarawy,45925
Alessandro Bastoni,826188
Andrea Cambiaso,917048
Michael Folorunsho,869795
Alex Meret,592794
Etrit Berisha,35656
Iván Balliu,152446
Mario Mitaj,1006089
Elseid Hysaj,136322
Arlind Ajeti,111746
Berat Djimsiti,151003
Rey Manaj,587882
Klaus Gjasula,163673
Jasir Asani,355022
Nedim Bajrami,825861
Armando Broja,996985
Elhan Kastrati,284391
Enea Mihaj,850828
Qazim Laçi,284395
Taulant Seferi,279487
Medon Berisha,1142149
Ernest Muçi,924670
Ardian Ismajli,840414
Mirlind Daku,970516
Ylber Ramadani,841977
Kristjan Asllani,996820
Amir Abrashi,37805
Thomas Strakosha,227212
Marash Kumbulla,893642
Naser Aliji,334839
Arbër Hoxha,890663
Jan Oblak,69768
Žan Karničnik,896421
Jure Balkovec,171625
Miha Blažič,96552
Jon Gorenc Stanković,280565
Jaka Bijol,886930
Benjamin Verbič,153230
Sandi Lovrić,575852
Andraž Šporar,166987
Timi Max Elšnik,827371
Benjamin Šeško,986397
Vid Belec,106713
Erik Janža,124590
Jasmin Kurtić,61445
Tomi Horvat,906698
Igor Vekić,943735
Jan Mlakar,827367
Žan Vipotnik,1000160
Žan Celar,840740
Petar Stojanović,227082
Vanja Drkušić,908617
Adam Gnezda Čerin,843251
David Brekalo,856583
Nino Žugelj,910465
Adrian Zeljković,1088231
Josip Iličić,41270
Kasper Schmeichel,1076
Joachim Andersen,362682
Jannik Vestergaard,120538
Simon Kjær,21535
Joakim Mæhle,842364
Andreas Christensen,186795
Mathias Jensen,799251
Thomas Delaney,66477
Rasmus Højlund,1086417
Christian Eriksen,105734
Andreas Skov Olsen,888537
Kasper Dolberg,795761
Mathias Jørgensen,930961
Mikkel Damsgaard,907072
Christian Nørgaard,135256
Mads Hermansen,856640
Victor Kristiansen,1092409
Alexander Bah,850976
Jonas Wind,826069
Yussuf Poulsen,135264
